NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,행정동코드,행정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,public_office_cnt
100000001,1001,종로2가사거리,126.9877499,37.56976513,1111013800,종로구,종로2가,1111061500,종로1.2.3.4가동,184,8,0,1486,0,5,16,403,62,68,10
100000002,1002,창경궁.서울대학교병원,126.996566,37.57918302,1111016600,종로구,연건동,1111061500,종로1.2.3.4가동,2,4,0,195,3,0,26,88,12,19,1
100000003,1003,명륜3가.성대입구,126.9983401,37.58267117,1111017200,종로구,명륜4가,1111065000,혜화동,48,2,1,566,3,1,19,214,32,146,2
100000004,1004,종로2가.삼일교,126.9876131,37.56857927,1111013500,종로구,관철동,1111061500,종로1.2.3.4가동,165,10,0,1404,1,3,13,351,73,52,7
100000005,1005,혜화동로터리.여운형활동터,127.001744,37.586243,1111016900,종로구,혜화동,1111065000,혜화동,71,8,3,594,4,2,4,235,36,145,4
100000006,1101,경기상고,126.9693635,37.58755022,1111010100,종로구,청운동,1111051500,청운효자동,9,4,0,23,5,0,3,10,3,6,5
100000007,1102,신교동,126.9702627,37.58329552,1111010400,종로구,효자동,1111051500,청운효자동,29,6,0,203,3,0,9,113,8,19,8
100000008,1103,경기상고,126.9697701,37.58719079,1111010100,종로구,청운동,1111051500,청운효자동,9,4,0,23,5,0,4,10,3,6,6
100000009,1104,경복고교,126.9710437,37.58511319,1111010100,종로구,청운동,1111051500,청운효자동,14,4,0,54,5,0,6,35,6,10,9
100000010,1105,청운중학교,126.9725135,37.58785196,1111010100,종로구,청운동,1111051500,청운효자동,2,2,0,14,5,0,3,9,3,3,5
100000011,1106,자하문고개.윤동주문학관,126.9671262,37.59218662,1111010100,종로구,청운동,1111051500,청운효자동,4,1,0,33,2,0,0,37,0,15,1
100000012,1107,자하문고개.윤동주문학관,126.9671907,37.59233532,1111010100,종로구,청운동,1111051500,청운효자동,4,1,0,33,2,0,0,37,0,14,1
100000013,1108,청운중학교,126.9724613,37.58812858,1111010100,종로구,청운동,1111051500,청운효자동,1,2,0,11,5,0,3,7,2,3,5
100000014,1109,경복고교,126.9711547,37.58496634,1111010300,종로구,궁정동,1111051500,청운효자동,14,4,0,68,5,0,6,36,6,11,9
100000015,1110,통인시장종로구보건소,126.97105,37.5803257,1111010800,종로구,통인동,1111051500,청운효자동,40,6,0,481,3,0,9,187,21,29,9
