adm_cd,adm_nm,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
11010530,사직동,3839,8263,5198,53698,5899,2217,1487
11010540,삼청동,1031,2271,990,4840,1549,618,380
11010550,부암동,3773,9153,876,3764,6563,2518,1129
11010560,평창동,6265,16832,1290,4456,11838,4846,1302
11010570,무악동,2883,7935,358,1669,5474,2357,494
11010580,교남동,4106,9660,605,8277,6957,2797,1219
11010600,가회동,1733,4010,966,13824,2856,1056,631
11010610,종로1.2.3.4가동,3636,5929,18586,118650,4309,1078,2371
11010630,종로5.6가동,2692,4828,8343,25067,3721,1007,1608
11010640,이화동,3883,7453,1693,17857,5830,1645,2094
11010670,창신1동,2339,4510,2828,6435,3272,1172,1068
11010680,창신2동,3485,7595,1075,2311,5623,2097,1289
11010690,창신3동,2598,6439,374,867,4719,1921,613
11010700,숭인1동,2622,5599,685,1824,4084,1549,1007
11010710,숭인2동,5065,8690,2321,7019,6853,1886,2988
11010720,청운효자동,4659,11384,1484,7419,8078,3177,1378
11010730,혜화동,8805,17678,2233,8970,14018,3574,4925
11020520,소공동,925,2053,5599,71139,1659,458,435
11020540,회현동,2010,4029,10025,46393,2766,1052,867
11020550,명동,1061,2314,9778,116812,1618,446,581
11020570,필동,1906,3981,3734,22670,2996,809,1020
11020580,장충동,2628,4839,1052,8172,3807,921,1509
11020590,광희동,2559,4441,10462,36979,3287,1047,1391
11020600,을지로동,1114,1648,10477,36565,1221,291,781
11020650,신당5동,4949,9976,1519,3905,7587,2630,2182
11020670,황학동,6213,11862,2513,6133,9164,2980,2963
11020680,중림동,4976,11441,1331,8484,8300,3187,1627
11020690,신당동,4028,7112,13588,27160,5539,1639,2223
11020700,다산동,6264,13372,2023,8798,10040,3594,2466
11020710,약수동,6925,15926,1168,4930,10972,4716,2054
11020720,청구동,5764,13124,1125,4439,9543,3689,1924
11020730,동화동,3771,9994,1293,4368,7213,2909,795
11030510,후암동,7283,16067,1342,4499,11940,4231,2800
11030520,용산2가동,4502,9072,918,2408,6665,2407,1911
11030530,남영동,3789,6331,2256,17607,4811,1212,2382
11030570,원효로2동,5443,13117,1649,7167,9550,3704,1601
11030580,효창동,3922,9631,673,2522,7156,2727,1082
11030590,용문동,4937,11371,887,2049,8376,3256,1576
11030630,이촌1동,8975,24696,1256,3990,16931,7584,1212
11030640,이촌2동,3302,7911,494,1139,5558,2409,803
11030650,이태원1동,3105,5815,1995,6750,4316,1483,1479
11030660,이태원2동,4144,8079,1205,3134,5989,2088,1874
11030690,서빙고동,4701,11768,715,5990,8578,3372,1178
11030700,보광동,6643,13013,1180,2334,9863,3302,3121
11030710,청파동,9829,18695,2292,10596,14698,4251,5218
11030720,원효로1동,6919,14716,2868,12359,11328,3902,2735
11030730,한강로동,8785,17580,7344,47835,13590,4574,3755
11030740,한남동,9435,18387,3724,22078,13795,4769,4154
11040520,왕십리2동,6925,16083,1119,2941,11975,4520,2275
11040540,마장동,9719,21564,3698,12181,16198,5805,3674
11040550,사근동,7150,12918,1389,11163,10901,2153,4754
11040560,행당1동,5748,13200,1649,8290,9850,3681,1930
11040570,행당2동,8747,22706,840,2239,16395,6860,1764
11040580,응봉동,5497,14720,543,1237,10394,4356,1053
11040590,금호1가동,6045,14756,794,2286,10584,4383,1538
11040620,금호4가동,5812,13734,929,2281,9753,4052,1624
11040650,성수1가1동,6937,15548,2884,12271,12091,4328,2435
11040660,성수1가2동,6102,12970,4519,24731,10027,3461,2499
11040670,성수2가1동,7425,15678,3466,18286,11873,4288,2990
11040680,성수2가3동,4888,10687,8580,62431,8127,2653,2091
11040690,송정동,5057,10226,946,3158,7836,2649,2305
11040700,용답동,5876,11433,2563,12832,8588,2640,3111
11040710,왕십리도선동,10999,25904,3186,11470,19147,7144,3632
11040720,금호2.3가동,9185,21935,1359,2860,16074,6460,2519
11040730,옥수동,10074,24603,1375,4700,17695,7445,2391
11050530,화양동,16621,24188,3127,14792,21444,3194,12704
11050540,군자동,10235,19414,2205,12436,15252,4497,5546
11050550,중곡1동,7345,14735,2137,6714,11382,3857,3282
11050560,중곡2동,9615,20767,2289,7610,15922,5637,3780
11050570,중곡3동,7555,15735,1677,4804,11976,4270,3144
11050580,중곡4동,11930,27779,1990,5167,20916,7990,3747
11050590,능동,6044,11022,1182,6149,8741,2647,3251
11050600,구의1동,11002,20958,2669,7350,16717,5050,5591
11050610,구의2동,10455,25582,1698,5815,18726,7261,3049
11050620,구의3동,11111,27339,3801,18174,20765,7798,3110
11050630,광장동,11150,33592,2092,11363,23929,9531,1501
11050640,자양1동,10495,21505,2383,10399,16704,5568,4616
11050650,자양2동,10163,24445,2091,6687,18178,6856,3098
11050660,자양3동,10044,27105,1858,7714,19673,7771,2131
11050670,자양4동,8325,16687,2270,7254,12262,4407,3751
11060710,회기동,6328,11228,1268,10015,9082,2123,4044
11060720,휘경1동,6643,13076,1216,3532,10034,3171,3336
11060730,휘경2동,10915,23540,1070,4682,17604,5918,4785
11060800,청량리동,8652,18812,1868,8148,12704,5254,3236
11060810,용신동,15702,29361,6995,30900,22141,6730,8464
11060820,제기동,11662,23299,5331,13726,16431,5914,5399
11060830,전농1동,13584,28770,2866,7386,21132,7500,5814
11060840,전농2동,7163,18656,1068,5096,13210,5377,1691
11060860,답십리2동,11756,27879,2698,8330,20055,8105,3448
11060870,장안1동,15931,36381,6506,23133,26751,10034,5502
11060880,장안2동,12363,31770,3744,13037,22191,8950,3212
11060890,이문1동,9934,18448,1529,4713,14284,3932,5774
11060900,이문2동,8173,19831,874,2237,14104,5548,2503
11060910,답십리1동,11567,27592,3312,10666,20156,7608,3717
11070520,면목2동,10689,23503,2345,6215,17279,6567,3974
11070540,면목4동,7843,17772,2268,4899,12801,5059,2678
11070550,면목5동,5707,13750,1003,3259,10097,4086,1540
11070570,면목7동,9479,21032,1734,4383,15407,6034,3294
11070590,상봉1동,9424,23686,1794,6582,17511,6953,2377
