,lon,lat,Hour,tmp,wsd,pcp,RIDE,ALIGHT
0,126.8222347,37.54738305,6,26,0.8,0,9.271333842753895,34.86662695272723
1,126.8222347,37.54738305,7,28,0.7,0,33.09865876493222,71.41667017648449
2,126.8222347,37.54738305,8,29,1.0,0,31.364458303015237,106.40734563103234
3,126.8222347,37.54738305,9,31,1.3,0,16.71985647348197,88.36608831426301
4,126.8242775,37.54785107,6,26,0.8,0,13.060782347169535,33.82202700321262
5,126.8242775,37.54785107,7,28,0.7,0,39.53537052440281,85.00654047451889
6,126.8242775,37.54785107,8,29,1.0,0,46.152584885898506,116.709723526019
7,126.8242775,37.54785107,9,31,1.3,0,26.336200013263085,96.05041478885512
8,126.8241693,37.55006761,6,26,0.8,0,13.47766557675964,33.70890934794976
9,126.8241693,37.55006761,7,28,0.7,0,49.906119432773956,84.10565695028042
10,126.8241693,37.55006761,8,29,1.0,0,55.58083001645838,117.60653634283557
11,126.8241693,37.55006761,9,31,1.3,0,33.16481090392019,96.72871501537298
12,126.8253975,37.55140845,6,26,0.8,0,3.74964875269693,44.54472730446829
13,126.8253975,37.55140845,7,28,0.7,0,18.24246148724398,83.50225928222513
14,126.8253975,37.55140845,8,29,1.0,0,26.826174696862093,116.41313712495717
15,126.8253975,37.55140845,9,31,1.3,0,17.134077290584685,95.04438419888716
16,126.8260631,37.55329542,6,26,0.8,0,21.892801290153276,54.43658624895806
17,126.8260631,37.55329542,7,28,0.7,0,92.5957870581827,127.35353891443067
18,126.8260631,37.55329542,8,29,1.0,0,124.91925072829541,155.85683277878564
19,126.8260631,37.55329542,9,31,1.3,0,92.91150219033875,140.46016778260469
20,126.8282122,37.55339409,6,26,0.8,0,10.797885264187341,40.281516964836385
21,126.8282122,37.55339409,7,28,0.7,0,30.481853512325827,79.75286966516535
22,126.8282122,37.55339409,8,29,1.0,0,28.03753059981923,109.45795458150394
23,126.8282122,37.55339409,9,31,1.3,0,17.84494106358112,91.94745058681937
24,126.8297394,37.55325753,6,26,0.8,0,25.255418917862706,53.06209031790756
25,126.8297394,37.55325753,7,28,0.7,0,93.3860610497019,111.12223922076141
26,126.8297394,37.55325753,8,29,1.0,0,155.54454855826552,150.83212633809478
27,126.8297394,37.55325753,9,31,1.3,0,104.17431257274994,134.82166868255842
28,126.8309217,37.55158209,6,26,0.8,0,24.988932197111787,61.45323766210793
29,126.8309217,37.55158209,7,28,0.7,0,102.13290370367275,124.38304098334605
30,126.8309217,37.55158209,8,29,1.0,0,170.04877111079807,164.22445117567707
31,126.8309217,37.55158209,9,31,1.3,0,114.101886262443,144.9695445294075
32,126.8318357,37.54962732,6,26,0.8,0,26.4005120660705,61.45323766210793
33,126.8318357,37.54962732,7,28,0.7,0,102.13290370367275,124.38304098334605
34,126.8318357,37.54962732,8,29,1.0,0,170.04877111079807,164.22445117567707
35,126.8318357,37.54962732,9,31,1.3,0,114.101886262443,144.9695445294075
