NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동_x,academy_cnt,bank_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,RIDE_SUM_6_10,ALIGHT_SUM_6_10,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
100000001,종로2가사거리,126.9877499,37.56976513,1111013800,종로구,종로2가,185,105,8,0,1495,0,0,5,16,406,62,68,0,10,84743,52050,125,204,641,4091,149,37,82
100000388,종로2가,126.9855427,37.57013868,1111013800,종로구,종로2가,170,122,11,0,1544,0,0,1,16,436,73,89,0,13,153539,430217,125,204,641,4091,149,37,82
100000389,종로2가,126.9862475,37.5702572,1111013800,종로구,종로2가,179,121,10,0,1539,0,0,2,17,441,70,89,0,12,397559,675551,125,204,641,4091,149,37,82
100000087,종로3가,126.9889374,37.57001124,1111013800,종로구,종로2가,188,79,4,0,1498,0,0,4,17,388,58,55,0,8,61645,59815,125,204,641,4091,149,37,82
100000090,종로2가,126.9864899,37.56996233,1111013800,종로구,종로2가,178,124,10,0,1521,0,0,2,16,444,73,84,0,11,61645,59815,125,204,641,4091,149,37,82
100000091,종로2가,126.985437,37.56997031,1111013800,종로구,종로2가,174,129,13,0,1600,0,0,1,13,448,85,86,0,13,61645,59815,125,204,641,4091,149,37,82
100000096,종로2가,126.9849388,37.57033699,1111013800,종로구,종로2가,170,121,11,0,1619,0,0,1,15,469,88,91,0,13,61645,59815,125,204,641,4091,149,37,82
100000097,종로2가,126.9863596,37.57035879,1111013800,종로구,종로2가,180,122,10,0,1585,0,0,2,17,453,72,89,0,12,61645,59815,125,204,641,4091,149,37,82
100900116,종각역YMCA,126.9850715,37.57033935,1111013800,종로구,종로2가,171,122,11,0,1611,0,0,1,15,467,88,90,0,13,80922,33649,125,204,641,4091,149,37,82
100000332,종로2가,126.9850973,37.57035413,1111013800,종로구,종로2가,172,122,11,0,1615,0,0,1,15,468,88,91,0,13,61645,59815,125,204,641,4091,149,37,82
100000333,종로2가,126.9855751,37.56996853,1111013800,종로구,종로2가,171,124,13,0,1529,0,0,1,14,427,72,86,0,13,61645,59815,125,204,641,4091,149,37,82
100000403,인사동.탑골공원,126.9888006,37.57011554,1111013800,종로구,종로2가,188,83,4,0,1526,0,0,5,17,395,58,59,0,9,61645,59815,125,204,641,4091,149,37,82
100000002,창경궁.서울대학교병원,126.996566,37.57918302,1111016600,종로구,연건동,2,21,4,0,199,3,0,0,26,88,12,19,0,1,387688,712320,1294,2484,564,5952,1943,548,698
100000125,혜화역.서울대병원입구,127.0019395,37.58106363,1111016600,종로구,연건동,44,40,6,2,615,6,0,1,6,239,29,199,0,3,695942,217431,1294,2484,564,5952,1943,548,698
100000126,방송통신대.이화장,127.0019938,37.57812967,1111016600,종로구,연건동,18,29,8,1,357,6,0,1,3,162,17,132,0,4,47628,110594,1294,2484,564,5952,1943,548,698
100000127,이화동(이화장),127.0006951,37.57611936,1111016600,종로구,연건동,15,32,9,0,301,7,0,0,4,115,18,37,0,4,106667,113688,1294,2484,564,5952,1943,548,698
100000128,창경궁.서울대학교병원,126.9968717,37.57882799,1111016600,종로구,연건동,1,24,3,0,175,5,0,0,22,81,12,21,0,1,42282,326386,1294,2484,564,5952,1943,548,698
100900193,혜화역3번출구,127.0019214,37.58121591,1111016600,종로구,연건동,44,40,6,2,619,7,0,1,6,236,30,197,0,2,61645,59815,1294,2484,564,5952,1943,548,698
100900090,이화사거리,127.0020107,37.57646986,1111016600,종로구,연건동,14,31,9,0,277,7,0,0,4,106,19,52,0,5,5606,96172,1294,2484,564,5952,1943,548,698
100900085,서울대어린이병원응급실.갑상선센터,126.999503,37.57811888,1111016600,종로구,연건동,10,29,4,0,281,7,0,1,10,125,13,77,0,2,695,66468,1294,2484,564,5952,1943,548,698
100900076,서울대병원장례식장,126.997431,37.5805554,1111016600,종로구,연건동,16,28,3,0,453,2,0,1,26,150,16,65,0,1,231,2050,1294,2484,564,5952,1943,548,698
100900195,연건동,127.000745,37.57612566,1111016600,종로구,연건동,15,31,9,0,302,8,0,0,4,116,18,37,0,4,4465,24582,1294,2484,564,5952,1943,548,698
100900143,대학로입구.이화사거리,127.0025802,37.57598417,1111016600,종로구,연건동,13,29,12,0,325,6,0,0,3,114,14,51,0,6,23034,71305,1294,2484,564,5952,1943,548,698
100900128,이화사거리,127.0022813,37.57532007,1111016600,종로구,연건동,20,37,11,0,393,6,0,1,2,117,31,34,0,7,5490,46985,1294,2484,564,5952,1943,548,698
100900028,방송통신대앞,127.0019927,37.57869736,1111016600,종로구,연건동,24,31,6,1,440,6,0,1,5,178,20,156,0,3,7108,38940,1294,2484,564,5952,1943,548,698
100900030,서울대치과대학,126.9978749,37.57730607,1111016600,종로구,연건동,4,27,5,0,155,6,0,0,14,71,12,11,0,1,189,27306,1294,2484,564,5952,1943,548,698
100900038,서울대치과대학,126.9977741,37.57760163,1111016600,종로구,연건동,3,24,3,0,151,6,0,0,16,66,11,9,0,1,1697,9870,1294,2484,564,5952,1943,548,698
100900043,이화사거리,127.0020085,37.57694834,1111016600,종로구,연건동,14,32,8,1,246,7,0,0,4,112,18,72,0,4,22,3871,1294,2484,564,5952,1943,548,698
100900042,서울대학교병원현관.암병원현관,126.9981568,37.57895147,1111016600,종로구,연건동,4,25,4,0,285,7,0,1,20,115,13,37,0,1,32574,303334,1294,2484,564,5952,1943,548,698
100000003,명륜3가.성대입구,126.9983401,37.58267117,1111017200,종로구,명륜4가,49,40,2,1,567,3,0,1,20,218,32,146,0,2,406570,572853,1468,2946,372,1495,2336,596,821
100900027,혜화역4번출구,127.0014561,37.58346324,1111017200,종로구,명륜4가,53,39,4,3,661,6,0,1,6,267,31,197,0,3,34971,228035,1468,2946,372,1495,2336,596,821
100000004,종로2가.삼일교,126.9876131,37.56857927,1111013500,종로구,관철동,166,119,10,0,1403,1,0,3,13,356,73,50,0,7,22643,120447,125,204,641,4091,149,37,82
100000078,청계1가.광교,126.9849267,37.56868439,1111013500,종로구,관철동,147,149,12,0,1485,0,0,2,11,416,96,51,0,13,1312,6418,125,204,641,4091,149,37,82
100000088,종로2가,126.9879232,37.56926954,1111013500,종로구,관철동,186,102,10,0,1467,1,0,5,16,387,68,57,0,9,61645,59815,125,204,641,4091,149,37,82
