호선명,지하철역,역사명,노선명,시,구,동,법정동코드,산존재여부,X좌표,Y좌표,사용월,"06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원"
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202212,8505,5809,13440,10380,18824,19859,18641,21156
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202211,8782,6391,14368,11493,20005,21825,18561,22349
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202210,9398,6871,14707,11779,19432,21691,18853,22784
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202209,8595,6719,14334,11657,18660,20880,17495,20478
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202208,8375,6305,13390,11046,17632,20315,16633,19979
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202207,8866,7600,14047,12982,18798,22352,17640,22660
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202206,8821,7698,14163,12675,18873,22464,17325,22417
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202205,9472,7920,15023,13433,20022,23921,18001,23889
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202204,8733,6709,14349,11903,18644,22388,16383,21407
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202203,8089,5810,13081,10892,16963,21041,15284,19382
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202202,6553,4490,9865,8472,14431,17586,12621,16291
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202201,7589,4753,11238,9014,16677,19698,15203,18791
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202112,8716,5492,13464,10014,18832,21879,16495,20889
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202111,8849,6242,14133,10756,19586,22687,16773,22168
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202110,8582,6256,13952,10888,17811,21931,17118,22003
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202109,8046,5696,12719,10419,16569,20267,15835,20047
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202108,7880,5352,12037,9885,16637,19783,15671,19192
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202107,8755,6552,13558,11917,17863,23651,16508,21375
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202106,8936,6979,14776,12395,18660,24732,16788,22866
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202105,8433,7185,13545,12235,17485,23038,16434,21859
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202104,8958,7019,14035,12473,18110,24539,16261,21668
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202103,8945,6697,14117,11879,18264,24742,16256,21527
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202102,6597,4514,9945,8050,13961,17637,13145,16568
1호선,동대문,동대문,1호선,서울,종로구,창신동,1111017400,N,127.0111671,37.57177757,202101,6920,4611,10340,7951,14857,17036,13070,16659
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202212,3605,4484,6064,8011,10633,19614,8934,16106
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202211,3731,4674,6555,8851,11419,21633,9128,18442
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202210,3766,4838,6384,9133,10842,21373,9804,19403
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202209,3560,4309,5923,8892,10400,20603,8876,17488
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202208,3456,4571,5920,8160,10055,17264,8698,16243
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202207,3454,4904,6283,9752,10321,20686,8999,18126
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202206,3321,5042,6249,9730,9677,22640,8695,17690
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202205,3536,5108,6256,10013,10183,22352,9030,18898
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202204,3154,4384,5793,9172,9665,21300,7790,17137
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202203,3044,3872,5339,8376,8359,19361,6913,14925
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202202,2419,3514,4257,5960,7085,12284,5737,12679
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202201,2815,3923,4877,6311,8215,14327,6954,14305
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202112,3270,3915,5412,7362,8890,18151,7427,14958
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202111,3387,4074,5711,7976,9492,20213,7707,16905
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202110,3285,4527,5212,8131,8497,20837,8098,17196
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202109,3100,4244,5177,8108,7969,20660,7348,16300
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202108,3286,4614,5128,8004,8066,18779,7541,15213
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202107,3575,4910,5452,8608,8526,21141,7927,15956
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202106,3422,4802,5896,9703,9194,24921,8022,17333
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202105,3345,4647,5623,8867,8573,23202,7766,16991
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202104,3409,4736,5917,9312,9010,25960,7473,17233
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202103,3453,4739,5946,9283,9005,25504,7258,16394
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202102,2603,3472,4276,5447,6820,14057,5728,12840
1호선,동묘앞,동묘앞,1호선,서울,종로구,숭인동,1111017500,N,127.0167512,37.57337221,202101,2761,3527,4457,5734,6977,14687,5588,13409
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202212,12137,44148,38148,100206,66885,212880,57091,153222
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202211,13165,49665,42055,109445,71945,219435,60879,160791
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202210,13511,55432,40840,105943,71256,205484,61307,151763
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202209,12144,45586,40540,100957,66938,202353,54067,134606
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202208,12332,45706,39560,102779,63523,200999,51463,135243
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202207,12723,45371,39553,104056,64302,206824,52500,136248
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202206,12608,46963,39233,100397,65106,201687,54833,136594
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202205,12965,48494,41213,104898,68672,207219,56782,136237
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202204,11117,39884,36446,89690,59887,183383,45821,119576
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202203,10214,32887,33049,76154,51901,162519,38945,97579
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202202,8866,28412,28159,66221,44847,143948,36975,90388
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202201,10201,34337,30952,78629,50863,172417,41295,111532
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202112,11185,35735,34375,85455,55770,188733,43790,121596
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202111,12028,40803,36492,93181,61857,196998,48518,131911
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202110,11349,38116,32664,81124,54955,162257,43395,110408
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202109,10588,32295,30994,71620,49203,147142,37287,95306
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202108,10871,31479,31643,73669,49003,149249,36383,94786
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202107,11542,33836,34033,80382,52613,163620,38605,102598
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202106,12474,37203,37253,91875,59876,187805,44619,118679
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202105,11666,35011,33985,82070,54891,165371,42152,111487
