NODE_ID,RIDE_SUM_6_10,ALIGHT_SUM_6_10
100000001,84743,52050
100000002,387688,712320
100000003,406570,572853
100000004,22643,120447
100000005,294069,402594
100000006,56349,66768
100000007,214880,96951
100000008,8654,97946
100000009,35796,99002
100000010,3464,57219
100000011,44786,21952
100000012,4748,49263
100000013,1394,31023
100000014,18315,113213
100000015,115517,180448
100000016,33533,213672
100000017,30565,276592
100000018,91507,84985
100000019,314150,292631
100000020,129700,589052
100000021,559032,152780
100000022,65491,388805
100000023,591827,187177
100000025,36055,167946
100000028,36094,238490
100000029,4119,102834
100000030,4642,3735
100000031,119024,533828
100000032,166709,471880
100000033,103725,390713
100000034,17502,159975
100000035,69851,162976
100000036,55662,183262
100000037,80082,39699
100000038,254790,99879
100000039,19894,46761
100000040,48158,19098
100000041,154700,45650
100000042,118273,35960
100000043,63431,33205
100000044,13982,42216
100000045,28759,48065
100000046,35853,43183
100000047,14424,31651
100000048,16754,59031
100000049,109338,98631
100000051,53102,38089
100000053,6496,709
100000054,32027,2033
100000055,58732,22905
100000056,32389,48832
100000057,183899,47016
100000058,77622,46428
100000059,3774,28457
100000060,74288,37977
100000061,211214,60948
100000062,150721,78008
100000063,95848,40964
100000064,128030,69938
100000065,28601,59693
100000066,17644,48262
100000067,17834,57228
100000068,31030,133256
100000069,24628,99119
100000072,16104,36224
100000073,93220,87418
100000075,83817,20512
100000076,132685,600153
100000077,11012,54530
100000078,1312,6418
100000079,1871,8278
100000080,651,7476
100000081,2989,12282
100000102,249066,617180
100000103,129839,267940
100000104,410545,226656
100000105,113579,176980
100000106,67106,372616
100000107,8384,129824
100000108,22546,122833
100000109,58067,162211
100000116,24077,50423
100000117,4169,13780
100000118,47048,101194
100000119,83702,101224
100000121,28971,58299
100000122,45685,284450
100000123,108249,276369
100000124,165863,269802
100000125,695942,217431
100000126,47628,110594
100000127,106667,113688
100000128,42282,326386
100000129,30147,90121
100000130,74034,21857
100000131,68457,129103
100000132,84321,138882
100000133,124458,93226
100000135,68293,100850
100000139,14164,58909
100000140,10248,13033
100000142,49912,58946
100000143,129992,30778
100000144,130698,44134
100000147,157165,424251
100000150,9174,49341
100000151,32121,205312
100000153,8035,51447
100000154,1444,66297
100000155,491,5432
100000156,10218,22996
100000157,25377,20757
100000158,16834,18606
100000159,12268,163766
100000165,81032,59130
100000169,7658,194333
100000174,23978,109546
100000179,10320,96534
100000180,50911,310138
100000181,26840,31911
100000188,10451,26387
100000189,82208,42492
100000190,41136,156329
100000191,80987,56487
100000192,1647,16688
100000193,27697,16533
100000330,63760,79149
100000355,18930,56317
100000362,195813,83705
100000363,581030,761708
100000364,7787,27336
100000365,545381,841237
100000366,144990,98021
100000367,495415,622483
100000368,171721,129075
100000369,44989,223394
100000370,19683,86043
100000376,4762,34735
100000379,89170,463148
100000380,295034,950455
100000384,401304,736223
100000385,105340,554339
100000386,144774,724442
100000387,311683,767566
100000388,153539,430217
100000389,397559,675551
100000390,220341,319394
100000391,198217,673675
100000392,58069,229731
100000393,65856,470495
100000394,174121,485754
100000395,87154,494597
100000396,111652,208280
100000397,150783,677406
100000398,491321,354064
100000413,1212,1189
100000414,4461,31712
100000415,1296,7943
100000416,2009,20892
100000417,972,6015
100000418,401,1417
100900002,1543,1336
100900003,52373,28694
100900004,703,70361
100900005,13019,1949
100900006,2639,2417
100900007,18624,380
100900008,221,29972
100900009,3272,4063
100900010,4055,1498
100900011,16579,8048
100900012,86,7863
100900013,90283,909
100900014,240,91
100900015,4281,3508
100900016,568,1635
100900017,115182,7265
100900018,280,1241
100900019,2316,5854
100900020,37401,352
100900021,38382,149
100900022,396,970
100900023,7,828
100900024,29626,157
100900025,1474,334
100900026,11670,8204
100900027,34971,228035
100900028,7108,38940
100900029,6130,365
100900030,189,27306
100900031,77510,5039
100900032,38390,85
100900033,9840,42746
100900034,141781,314
100900035,16752,40
100900036,3746,30
100900037,12422,7427
100900038,1697,9870
100900039,22196,12849
100900040,57931,27276
100900041,104206,15839
100900042,32574,303334
100900043,22,3871
100900044,86589,54823
100900045,682,112
100900046,104151,1062
100900047,50823,6997
100900048,9662,2379
100900049,7845,5579
100900050,565,1547
100900051,3472,17731
100900052,22631,915
100900053,54401,2357
100900054,946,2162
100900055,12460,40609
100900056,2958,5500
100900057,218061,44650
100900058,14538,4763
100900059,11620,240
100900060,20855,508
100900061,11416,14068
100900062,281,2929
100900063,27555,85098
100900064,50189,1173
100900065,3420,16930
100900066,21701,9014
100900067,2167,494
100900068,8469,20086
100900069,10394,521
100900070,57687,504
100900071,20432,7858
100900072,97,3266
100900073,11284,20964
100900074,157,1035
100900075,131979,14173
100900076,231,2050
100900077,4905,705
100900078,9896,16626
100900079,379,4216
100900080,11359,14134
100900081,1982,10325
100900082,23366,8553
100900083,887,3290
100900085,695,66468
100900086,3483,28049
100900088,23310,9678
100900089,291,2202
100900090,5606,96172
100900091,131,618
100900092,6607,12687
100900093,30234,38671
100900094,23604,6712
100900095,306,3218
100900096,4208,25517
100900097,1972,165
100900098,1260,2385
100900099,1002,36559
100900100,982,28132
100900101,20839,2539
100900102,1192,11622
100900103,418,1446
100900104,311,15710
100900105,1075,46106
100900106,1081,398
100900107,197266,66914
100900108,327,2856
100900109,1233,2776
100900110,310,1774
100900111,1351,18206
100900112,292,2390
100900113,1035,2044
100900114,814,1753
100900115,884,2853
100900116,80922,33649
100900117,16730,91554
100900118,1935,7114
100900119,393,1632
100900120,2132,473
100900121,34349,24510
100900122,3054,5399
100900123,15018,5109
100900124,105,372
100900125,471,3816
100900126,46216,21198
100900127,432,427
100900128,5490,46985
100900129,94,30198
100900131,1533,10465
100900133,7032,2089
100900134,320,834
100900135,171,58207
100900137,23476,17020
100900138,41869,31705
100900139,401,2524
100900140,465,11391
100900141,229,51542
100900142,68,649
100900143,23034,71305
100900144,322,382
100900145,3877,64256
100900146,1,46
100900147,1169,143655
100900148,14571,11350
100900149,1297,45050
100900150,1,98
100900151,7690,41031
100900152,32749,476
100900153,280,27964
100900154,2294,15597
100900155,907,297
100900156,3352,86
100900157,1337,44979
100900159,300,4204
100900160,3253,827
100900161,4448,87
100900162,1072,27708
100900163,6909,5388
100900164,7299,1917
100900165,1954,3119
100900166,1814,61
100900167,1716,4037
100900168,1145,11480
100900169,6311,68086
100900170,2559,783
100900171,1173,40783
100900172,95,9960
100900173,830,7415
100900174,3501,2022
100900176,8829,1532
100900177,30074,22753
100900178,13825,31224
100900179,27517,32912
100900180,273,212
100900181,3243,3886
100900182,5165,756
100900184,3374,11776
100900186,45300,18448
100900187,3251,5691
100900188,1926,592
100900189,205694,17375
100900191,37286,87986
100900192,7641,32225
100900195,4465,24582
