,index,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label,gmm_cluster,구-동
272,5194,5194,111001114,MBC,126.8908953,37.58165157,1144012700,마포구,상암동,9,11,0,417,1,0,1,1,134,34,6,0,5,49456,0.12541906933083,12.327018943170488,21507,53563,17169,0,8,마포구상암동
273,5195,5195,111001115,MBC,126.8909503,37.58189405,1144012700,마포구,상암동,9,11,0,393,1,0,1,1,126,33,6,0,4,49456,0.12541906933083,12.327018943170488,21507,2630,135491,0,8,마포구상암동
387,5994,5994,113000075,상암초등학교,126.8932805,37.57647391,1144012700,마포구,상암동,23,15,1,465,1,0,1,3,140,33,9,0,2,49456,0.12541906933083,12.327018943170488,21507,168351,60031,0,8,마포구상암동
388,5995,5995,113000076,상암초등학교,126.8934931,37.57663449,1144012700,마포구,상암동,23,15,1,462,1,0,1,3,141,33,8,0,2,49456,0.12541906933083,12.327018943170488,21507,37355,260329,0,8,마포구상암동
393,6095,6095,113000192,상암DMC홍보관.YTN,126.891323,37.577985,1144012700,마포구,상암동,22,15,1,578,2,0,1,2,166,39,9,0,2,49456,0.12541906933083,12.327018943170488,21507,46193,487784,0,8,마포구상암동
394,6096,6096,113000193,상암DMC홍보관.YTN,126.8912876,37.57746059,1144012700,마포구,상암동,23,16,1,561,2,0,0,2,162,37,9,0,2,49456,0.12541906933083,12.327018943170488,21507,124898,334950,0,8,마포구상암동
395,6103,6103,113000201,월드컵파크4단지후문.JTBC,126.8900683,37.57738557,1144012700,마포구,상암동,18,15,1,504,2,0,0,2,146,39,8,0,2,49456,0.12541906933083,12.327018943170488,21507,55750,54465,0,8,마포구상암동
396,6105,6105,113000203,월드컵파크4단지후문.JTBC,126.8900281,37.57780994,1144012700,마포구,상암동,19,16,1,530,2,0,0,2,153,39,8,0,2,49456,0.12541906933083,12.327018943170488,21507,7359,66488,0,8,마포구상암동
397,6106,6106,113000204,누리꿈스퀘어.MBC,126.889637,37.578988,1144012700,마포구,상암동,16,13,1,469,2,0,0,2,149,40,8,0,2,49456,0.12541906933083,12.327018943170488,21507,34696,600644,0,8,마포구상암동
405,6172,6172,113000452,SBS.YTN,126.8940289,37.5796266,1144012700,마포구,상암동,15,9,2,612,1,0,2,1,160,46,9,0,4,49456,0.12541906933083,12.327018943170488,21507,10594,63465,0,8,마포구상암동
406,6173,6173,113000453,SBS.YTN,126.8944828,37.57974505,1144012700,마포구,상암동,15,10,2,584,1,0,2,1,155,44,9,0,4,49456,0.12541906933083,12.327018943170488,21507,4227,81969,0,8,마포구상암동
