,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label
0,100000001,종로2가사거리,126.9877499,37.56976513,1111013800,종로구,종로2가,185,8,0,1495,0,0,5,16,406,62,68,0,10,4091,0.4019607843137255,6.382215288611545,149,84743,52050,0
1,100000002,창경궁.서울대학교병원,126.996566,37.57918302,1111016600,종로구,연건동,2,4,0,199,3,0,0,26,88,12,19,0,1,5952,0.2809983896940419,10.553191489361701,1943,387688,712320,0
2,100000003,명륜3가.성대입구,126.9983401,37.58267117,1111017200,종로구,명륜4가,49,2,1,567,3,0,1,20,218,32,146,0,2,1495,0.2786829599456891,4.018817204301075,2336,406570,572853,0
3,100000004,종로2가.삼일교,126.9876131,37.56857927,1111013500,종로구,관철동,166,10,0,1403,1,0,3,13,356,73,50,0,7,4091,0.4019607843137255,6.382215288611545,149,22643,120447,0
4,100000005,혜화동로터리.여운형활동터,127.001744,37.586243,1111016900,종로구,혜화동,72,8,3,596,4,1,2,4,237,36,145,0,4,1495,0.2786829599456891,4.018817204301075,2336,294069,402594,0
5,100000006,경기상고,126.9693635,37.58755022,1111010100,종로구,청운동,9,4,0,22,5,0,0,3,10,3,6,0,5,742,0.12126537785588752,5.013513513513513,808,56349,66768,0
6,100000007,신교동,126.9702627,37.58329552,1111010400,종로구,효자동,31,6,0,198,3,0,0,9,113,8,18,0,8,742,0.12126537785588752,5.013513513513513,808,214880,96951,0
7,100000008,경기상고,126.9697701,37.58719079,1111010100,종로구,청운동,9,4,0,22,5,0,0,4,10,3,6,0,6,742,0.12126537785588752,5.013513513513513,808,8654,97946,0
8,100000009,경복고교,126.9710437,37.58511319,1111010100,종로구,청운동,14,4,0,52,5,0,0,6,35,6,10,0,9,742,0.12126537785588752,5.013513513513513,808,35796,99002,0
9,100000010,청운중학교,126.9725135,37.58785196,1111010100,종로구,청운동,2,2,0,13,5,0,0,3,9,3,3,0,5,742,0.12126537785588752,5.013513513513513,808,3464,57219,0
10,100000011,자하문고개.윤동주문학관,126.9671262,37.59218662,1111010100,종로구,청운동,4,1,0,33,2,0,0,0,37,0,14,0,1,742,0.12126537785588752,5.013513513513513,808,44786,21952,0
11,100000012,자하문고개.윤동주문학관,126.9671907,37.59233532,1111010100,종로구,청운동,4,1,0,33,2,0,0,0,37,0,13,0,1,742,0.12126537785588752,5.013513513513513,808,4748,49263,0
12,100000013,청운중학교,126.9724613,37.58812858,1111010100,종로구,청운동,1,2,0,11,5,0,0,3,7,2,3,0,5,742,0.12126537785588752,5.013513513513513,808,1394,31023,0
13,100000014,경복고교,126.9711547,37.58496634,1111010300,종로구,궁정동,14,4,0,63,5,0,0,6,36,6,11,0,9,742,0.12126537785588752,5.013513513513513,808,18315,113213,0
14,100000015,통인시장종로구보건소,126.97105,37.5803257,1111010800,종로구,통인동,44,6,0,480,3,0,0,9,187,21,28,0,9,742,0.12126537785588752,5.013513513513513,808,115517,180448,0
15,100000016,통인시장종로구보건소,126.9713851,37.58051321,1111010500,종로구,창성동,43,6,0,472,2,0,0,9,185,21,28,0,9,742,0.12126537785588752,5.013513513513513,808,33533,213672,0
16,100000017,효자동,126.970621,37.58309104,1111010400,종로구,효자동,32,6,0,217,2,0,0,8,117,8,18,0,8,742,0.12126537785588752,5.013513513513513,808,30565,276592,0
17,100000018,사직단.어린이도서관,126.9679907,37.57513553,1111011500,종로구,사직동,24,9,1,466,3,0,0,8,158,21,16,0,5,4475,0.1799709724238026,10.334872979214781,492,91507,84985,0
18,100000019,경복궁역1번출구,126.9713245,37.57618346,1111011400,종로구,내자동,31,12,1,684,2,0,1,5,247,30,29,0,6,4475,0.1799709724238026,10.334872979214781,492,314150,292631,0
19,100000020,경복궁역,126.972196,37.57686669,1111011200,종로구,체부동,34,10,1,679,1,0,1,10,243,33,26,0,5,4475,0.1799709724238026,10.334872979214781,492,129700,589052,0
20,100000021,경복궁역,126.9722829,37.57767139,1111010600,종로구,통의동,35,10,1,648,2,0,1,12,226,31,24,0,6,4475,0.1799709724238026,10.334872979214781,492,559032,152780,0
21,100000022,경복궁,126.9787471,37.57557679,1111012500,종로구,중학동,11,9,0,445,2,0,2,8,175,18,58,0,19,4091,0.4019607843137255,6.382215288611545,149,65491,388805,0
22,100000023,KT광화문지사,126.9774187,37.57220974,1111011900,종로구,세종로,38,14,1,936,1,0,1,0,299,101,47,0,36,9308,0.1688823239783358,7.617021276595745,1448,591827,187177,0
23,100000025,광화문,126.9763839,37.5698454,1111011900,종로구,세종로,34,11,1,905,1,0,1,6,297,103,59,0,30,9308,0.1688823239783358,7.617021276595745,1448,36055,167946,0
24,100000026,광화문.금호아시아나본관앞,126.9741676,37.57004915,1111012000,종로구,신문로1가,23,8,1,638,2,0,1,6,216,59,62,0,30,4475,0.1799709724238026,10.334872979214781,492,61645,59815,0
