,index,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label
35,35,35,100000037,국민은행세검정지점,126.96088799999998,37.60466298,1111018600,종로구,신영동,31,3,1,70,1,0,0,0,18,3,9,0,1,1255,0.12323828253031792,4.2979452054794525,2188,80082,39699,0
36,36,36,100000038,세검정초등학교,126.96121979999998,37.60250228,1111018600,종로구,신영동,31,5,0,66,2,0,0,1,17,3,10,0,2,1255,0.12323828253031792,4.2979452054794525,2188,254790,99879,0
37,37,37,100000039,세검정.상명대,126.95872240000001,37.6007326,1111018500,종로구,홍지동,25,4,0,53,4,1,0,0,22,3,13,0,1,1255,0.12323828253031792,4.2979452054794525,2188,19894,46761,0
38,38,38,100000040,상명대입구.석파랑,126.95857020000001,37.59941335,1111018500,종로구,홍지동,10,4,0,45,3,1,0,1,20,4,9,0,1,1255,0.12323828253031792,4.2979452054794525,2188,48158,19098,0
39,39,39,100000041,하림각,126.9617068,37.59813307,1111018400,종로구,부암동,13,3,0,41,0,0,0,2,19,4,6,0,1,1255,0.12323828253031792,4.2979452054794525,2188,154700,45650,0
44,44,44,100000046,하림각,126.9622153,37.59814765,1111018400,종로구,부암동,13,3,0,37,0,0,0,2,18,4,5,0,1,1255,0.12323828253031792,4.2979452054794525,2188,35853,43183,0
45,45,45,100000047,상명대입구.세검정교회,126.9592406,37.59961633,1111018500,종로구,홍지동,11,4,0,45,3,1,0,1,20,4,9,0,1,1255,0.12323828253031792,4.2979452054794525,2188,14424,31651,0
46,46,46,100000048,세검정.상명대,126.95893429999998,37.60055246,1111018500,종로구,홍지동,24,4,0,52,4,1,0,0,20,4,13,0,1,1255,0.12323828253031792,4.2979452054794525,2188,16754,59031,0
47,47,47,100000049,세검정초등학교,126.96143290000002,37.60226807,1111018600,종로구,신영동,32,5,0,63,2,0,0,1,16,3,10,0,2,1255,0.12323828253031792,4.2979452054794525,2188,109338,98631,0
48,48,48,100000051,국민은행세검정지점,126.96119499999999,37.604846,1111018600,종로구,신영동,36,3,1,74,1,0,0,0,23,4,9,0,2,1255,0.12323828253031792,4.2979452054794525,2188,53102,38089,0
160,160,160,100000180,상명대정문,126.95502069999999,37.60161972,1111018500,종로구,홍지동,4,3,0,34,4,1,0,0,16,1,10,0,1,1255,0.12323828253031792,4.2979452054794525,2188,50911,310138,0
167,167,167,100000188,상명대입구.세검정교회,126.9597922,37.59944351,1111018500,종로구,홍지동,10,4,0,46,2,1,0,0,19,4,7,0,1,1255,0.12323828253031792,4.2979452054794525,2188,10451,26387,0
168,168,168,100000189,상명대입구.석파랑,126.95819409999999,37.59957181,1111018500,종로구,홍지동,10,4,0,46,3,1,0,1,20,4,11,0,1,1255,0.12323828253031792,4.2979452054794525,2188,82208,42492,0
201,201,201,100000359,창경궁,126.9964709,37.57907668,1111013000,종로구,와룡동,2,4,0,178,3,0,0,26,81,12,18,0,1,5586,0.2865756902570613,5.514313919052321,2485,61645,59815,0
243,243,243,100000408,창경궁,126.99641629999999,37.57915963,1111013000,종로구,와룡동,2,2,0,180,3,0,0,26,81,12,18,0,1,5586,0.2865756902570613,5.514313919052321,2485,61645,59815,0
256,256,256,100900001,창경궁,126.9965264,37.57879284,1111013000,종로구,와룡동,0,3,0,141,3,0,0,24,73,12,12,0,1,5586,0.2865756902570613,5.514313919052321,2485,61645,59815,0
257,257,257,100900002,경진빌라,126.9579482,37.60186409,1111018500,종로구,홍지동,26,4,0,54,5,1,0,0,19,3,12,0,1,1255,0.12323828253031792,4.2979452054794525,2188,1543,1336,0
261,261,261,100900006,완성빌라,126.9576665,37.60333997,1111018500,종로구,홍지동,27,3,1,72,5,1,0,0,22,3,11,0,2,1255,0.12323828253031792,4.2979452054794525,2188,2639,2417,0
277,277,277,100900022,국민은행.세검정지점,126.96078600000001,37.60488731,1111018600,종로구,신영동,30,3,1,67,1,0,0,0,18,3,9,0,1,1255,0.12323828253031792,4.2979452054794525,2188,396,970,0
280,280,280,100900025,세검초등학교,126.9614908,37.60425228,1111018600,종로구,신영동,36,4,1,66,1,0,0,0,22,4,8,0,2,1255,0.12323828253031792,4.2979452054794525,2188,1474,334,0
332,332,332,100900077,완성빌라,126.95750109999999,37.60340209,1111018500,종로구,홍지동,27,3,1,73,5,1,0,0,22,3,11,0,2,1255,0.12323828253031792,4.2979452054794525,2188,4905,705,0
