,index,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,노선번호
5,5,1982,105000072,답십리역.동부시장,127.0525194,37.56725625,1123010500,동대문구,답십리동,42,10,1,333,1,0,1,2,49,55,0,0,4,18996,0.1291665915523426,3.1607321131447588,40211,183547,700651,8221
6,6,2037,105000127,장안2동주민센터,127.0703732,37.57860792,1123010600,동대문구,장안동,79,17,3,277,4,0,0,1,42,27,0,0,5,36170,0.1278631274669484,3.528780487804878,48942,287552,124720,8221
15,15,11633,123000043,잠실역8번출구,127.1014595,37.51391189,1171010200,송파구,신천동,67,9,4,559,1,0,2,10,172,77,18,0,4,57984,0.0345986171660233,15.536977491961414,24716,132952,1374026,8331
25,25,11792,123000209,마천동사거리,127.1467148,37.49864025,1171011400,송파구,마천동,35,24,2,292,2,0,0,1,45,45,0,0,5,7261,0.1260833400413212,2.6763730187983783,26152,250869,64133,8331
29,29,11268,122000302,수서역5번출구,127.1024566,37.4869636,1168011500,강남구,수서동,9,9,2,227,3,0,2,1,50,32,0,0,3,27696,0.1479542133463224,8.436186414864453,22544,36749,403530,8441
30,30,11271,122000305,은곡마을.LH이편한세상,127.1026344,37.46552792,1168011100,강남구,세곡동,27,12,4,77,1,0,0,0,23,19,0,0,1,3523,0.1152024878083256,4.338669950738916,9767,182815,59304,8441
39,39,9285,119000024,노량진역3번출구,126.941757,37.51339143,1159010100,동작구,노량진동,157,7,1,546,1,0,2,1,117,19,1,0,4,11158,0.2196016771488469,3.387370977534912,19690,190436,2172729,8551
60,60,9900,120000156,봉천역,126.9420825,37.48302172,1162010100,관악구,봉천동,98,23,2,546,3,0,1,1,98,52,1,0,4,61570,0.2588523417624104,3.828980099502488,170048,49721,138870,8551
65,65,9767,120000018,신림사거리.신림역,126.9280626,37.4838178,1162010200,관악구,신림동,55,4,1,1005,1,1,2,2,190,84,4,0,4,61140,0.2886633284091919,3.3754761773311985,182596,293209,2083206,8552
73,73,9857,120000109,신림복지관앞,126.9196774,37.46528249,1162010200,관악구,신림동,12,10,0,54,4,1,0,1,8,4,0,0,2,61140,0.2886633284091919,3.3754761773311985,182596,158274,8797,8552
79,79,6030,113000113,신촌로터리,126.9348326,37.55402911,1144011000,마포구,노고산동,147,8,3,805,3,0,2,3,255,88,26,0,2,23823,0.3284147718109982,4.544639450591378,10025,185216,30077,8761
82,82,8697,118000048,국회의사당역,126.9173733,37.52807833,1156011000,영등포구,여의도동,11,6,2,387,0,0,1,3,102,16,5,1,0,171415,0.0875004093394898,11.216057056860564,20914,125285,371402,8761
89,89,4956,111000128,구산중학교.구산교회,126.9108336,37.6088024,1138010500,은평구,구산동,63,17,0,167,9,0,0,0,36,12,0,0,3,6242,0.0888357256778309,3.8939488459139113,22444,385560,32505,8771
94,94,5083,111000291,녹번역,126.9343371,37.60079255,1138010700,은평구,응암동,42,16,1,116,1,0,1,0,25,33,0,0,2,17706,0.136672068724719,3.028737598357852,53938,274899,1424706,8771
