,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,노선번호
0,1969,105000059,전곡시장앞,127.06779509999998,37.57723707,1123010600,동대문구,장안동,57,14,2,277,1,0,0,1,41,23,0,0,1,36170,0.1278631274669484,3.5287804878048776,48942,129894,74930,8221
1,1971,105000061,답십리촬영소.우성그린아파트,127.0669298,37.57435317,1123010500,동대문구,답십리동,58,19,1,311,1,0,0,0,50,50,2,0,0,18996,0.12916659155234267,3.1607321131447588,40211,167439,65658,8221
2,1974,105000064,동답한신동아아파트,127.0642166,37.56974649,1123010500,동대문구,답십리동,34,15,1,334,1,0,0,0,46,20,2,0,4,18996,0.12916659155234267,3.1607321131447588,40211,285028,66170,8221
3,1977,105000067,동아.위더스빌아파트,127.06146499999998,37.56615891,1123010500,동대문구,답십리동,34,11,1,330,1,0,0,0,55,25,0,0,6,18996,0.12916659155234267,3.1607321131447588,40211,175854,110733,8221
4,1981,105000071,고미술상가,127.0575179,37.56353241,1123010600,동대문구,장안동,23,9,0,283,2,0,0,1,47,49,0,0,4,36170,0.1278631274669484,3.5287804878048776,48942,21393,211227,8221
5,1982,105000072,답십리역.동부시장,127.05251940000001,37.56725625,1123010500,동대문구,답십리동,42,10,1,333,1,0,1,2,49,55,0,0,4,18996,0.12916659155234267,3.1607321131447588,40211,183547,700651,8221
6,2037,105000127,장안2동주민센터,127.0703732,37.57860792,1123010600,동대문구,장안동,79,17,3,277,4,0,0,1,42,27,0,0,5,36170,0.1278631274669484,3.5287804878048776,48942,287552,124720,8221
7,2061,105000151,장안동근린공원,127.07195359999999,37.57732381,1123010600,동대문구,장안동,80,19,3,294,4,0,0,2,46,36,0,0,5,36170,0.1278631274669484,3.5287804878048776,48942,98471,41290,8221
8,2063,105000153,동대문더퍼스트데시앙아파트,127.0718136,37.57535411,1123010600,동대문구,장안동,143,20,2,401,4,0,0,2,65,72,0,0,2,36170,0.1278631274669484,3.5287804878048776,48942,143734,46907,8221
9,2065,105000155,코리아병원,127.07165990000001,37.57320691,1123010600,동대문구,장안동,144,26,1,432,1,0,0,2,74,65,0,0,1,36170,0.1278631274669484,3.5287804878048776,48942,85002,48244,8221
10,2068,105000158,장안동삼성쉐르빌아파트,127.070843,37.571238,1123010600,동대문구,장안동,144,28,1,477,1,0,0,1,88,65,1,0,2,36170,0.1278631274669484,3.5287804878048776,48942,315298,67352,8221
11,2070,105000160,현대벤처빌.현대썬앤빌,127.0694007,37.56892086,1123010600,동대문구,장안동,93,17,0,512,2,0,0,1,77,50,2,0,5,36170,0.1278631274669484,3.5287804878048776,48942,460903,77370,8221
12,2072,105000162,우리은행장안지점앞,127.067727,37.566393,1123010600,동대문구,장안동,45,14,2,525,2,0,0,0,69,25,0,0,4,36170,0.1278631274669484,3.5287804878048776,48942,90237,341747,8221
13,2075,105000165,장한평역,127.06519640000002,37.56265076,1123010600,동대문구,장안동,17,8,2,374,1,0,1,0,54,33,0,0,2,36170,0.1278631274669484,3.5287804878048776,48942,116340,1084289,8221
14,2216,105000489,동답초교.대림아파트,127.0651585,37.57110482,1123010500,동대문구,답십리동,42,12,0,331,1,0,0,0,48,27,2,0,2,18996,0.12916659155234267,3.1607321131447588,40211,169604,84867,8221
15,11633,123000043,잠실역8번출구,127.1014595,37.51391189,1171010200,송파구,신천동,67,9,4,559,1,0,2,10,172,77,18,0,4,57984,0.03459861716602338,15.536977491961414,24716,132952,1374026,8331
16,11710,123000125,송파나루역,127.11167420000001,37.51067944,1171011100,송파구,방이동,47,21,0,722,2,1,1,5,168,41,1,0,0,39332,0.1453187026539775,5.071824629271439,43934,134790,117240,8331
17,11711,123000126,송파구청.방이맛골,127.10782730000001,37.51318447,1171011100,송파구,방이동,32,7,1,797,0,1,2,14,197,46,11,0,3,39332,0.1453187026539775,5.071824629271439,43934,107112,471058,8331
18,11716,123000131,방이우체국,127.1139246,37.50951307,1171011100,송파구,방이동,70,22,2,426,1,1,1,3,127,49,1,0,0,39332,0.1453187026539775,5.071824629271439,43934,153889,100564,8331
19,11720,123000135,한양삼익아파트,127.1216254,37.50595145,1171011100,송파구,방이동,143,16,4,137,4,1,0,0,44,36,1,0,0,39332,0.1453187026539775,5.071824629271439,43934,315463,131084,8331
20,11743,123000159,오금역.오금동현대아파트,127.12643259999999,37.50329446,1171011200,송파구,오금동,59,14,1,213,2,0,2,0,45,11,1,0,3,20188,0.08192225772097976,5.999405646359584,27423,257357,500366,8331
21,11744,123000160,오금공원앞,127.1331008,37.49915738,1171011200,송파구,오금동,97,10,2,134,5,0,1,0,36,41,0,0,0,20188,0.08192225772097976,5.999405646359584,27423,118195,155481,8331
22,11745,123000161,개롱역.오금동상아아파트,127.135938,37.49765382,1171011200,송파구,오금동,99,17,3,176,4,0,1,0,54,42,0,0,0,20188,0.08192225772097976,5.999405646359584,27423,146510,118888,8331
23,11746,123000162,보인고교.오금동삼성아파트,127.13834569999999,37.49634262,1171011200,송파구,오금동,85,22,2,195,4,0,1,1,45,33,0,0,1,20188,0.08192225772097976,5.999405646359584,27423,180226,196674,8331
24,11747,123000163,송파사회복지관.성요셉성당,127.1407037,37.49807896,1171011200,송파구,오금동,64,19,1,203,4,0,1,0,51,36,0,0,2,20188,0.08192225772097976,5.999405646359584,27423,88509,21292,8331
25,11792,123000209,마천동사거리,127.1467148,37.49864025,1171011400,송파구,마천동,35,24,2,292,2,0,0,1,45,45,0,0,5,7261,0.1260833400413212,2.6763730187983783,26152,250869,64133,8331
26,11795,123000212,마천2동윤진빌딩.신동아아파트,127.14424440000002,37.49967595,1171011400,송파구,마천동,28,27,1,176,2,0,0,1,42,30,0,0,4,7261,0.1260833400413212,2.6763730187983783,26152,493799,51383,8331
27,11868,123000300,서울방이동고분군,127.11619850000001,37.50820966,1171011100,송파구,방이동,100,24,2,289,3,1,1,1,77,47,1,0,0,39332,0.1453187026539775,5.071824629271439,43934,167670,119747,8331
28,12039,123000648,송파두산위브.송파소방서,127.1416514,37.50012662,1171011200,송파구,오금동,39,20,0,161,5,0,0,1,49,20,0,0,2,20188,0.08192225772097976,5.999405646359584,27423,94542,11318,8331
29,11268,122000302,수서역5번출구,127.10245659999998,37.4869636,1168011500,강남구,수서동,9,9,2,227,3,0,2,1,50,32,0,0,3,27696,0.14795421334632244,8.436186414864451,22544,36749,403530,8441
30,11271,122000305,은곡마을.LH이편한세상,127.1026344,37.46552792,1168011100,강남구,세곡동,27,12,4,77,1,0,0,0,23,19,0,0,1,3523,0.11520248780832568,4.3386699507389155,9767,182815,59304,8441
31,11284,122000318,쟁골마을,127.10516059999999,37.48201553,1168011200,강남구,자곡동,1,0,0,25,0,0,0,1,10,1,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,15288,95159,8441
32,11415,122000664,은곡마을진입로,127.0985784,37.46576564,1168011100,강남구,세곡동,26,8,4,50,0,0,0,0,17,14,0,0,0,3523,0.11520248780832568,4.3386699507389155,9767,24276,9557,8441
33,11427,122000687,못골마을,127.1018882,37.47310235,1168011200,강남구,자곡동,13,8,0,56,2,0,0,0,20,7,1,0,0,3523,0.11520248780832568,4.3386699507389155,9767,204678,53597,8441
34,11429,122000689,세곡푸르지오,127.0938352,37.46792281,1168011100,강남구,세곡동,16,8,3,11,2,0,0,0,4,3,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,165396,28964,8441
35,11430,122000690,세곡중학교.세명초등학교,127.09237549999999,37.47032141,1168011200,강남구,자곡동,20,9,1,11,2,0,0,0,1,5,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,387892,66990,8441
36,11432,122000692,래미안강남힐즈,127.0973807,37.47234832,1168011200,강남구,자곡동,18,7,1,11,3,0,0,0,5,4,1,0,1,3523,0.11520248780832568,4.3386699507389155,9767,162626,28023,8441
37,11440,122000701,강남현대힐스테이트에코,127.1049628,37.47501091,1168011200,강남구,자곡동,13,10,0,59,1,0,0,0,22,7,2,0,0,3523,0.11520248780832568,4.3386699507389155,9767,275584,20869,8441
38,11480,122000743,LH수서아파트,127.10598940000001,37.4773304,1168011200,강남구,자곡동,11,4,0,56,1,0,0,0,17,7,2,0,0,3523,0.11520248780832568,4.3386699507389155,9767,61645,59815,8441
39,9285,119000024,노량진역3번출구,126.94175700000001,37.51339143,1159010100,동작구,노량진동,157,7,1,546,1,0,2,1,117,19,1,0,4,11158,0.21960167714884696,3.3873709775349123,19690,190436,2172729,8551
40,9286,119000025,노량진역2번출구,126.9433483,37.51385357,1159010100,동작구,노량진동,159,4,1,480,1,0,2,1,118,16,1,0,4,11158,0.21960167714884696,3.3873709775349123,19690,298980,90559,8551
